iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
20,0.4670863269794798,0.007999999999999119,0.0001,464.6878676172346,4332.546875,4453.046875,4328.91796875,4329.73046875,4329.73046875,4332.546875
21,0.46708573564024203,0.009436292254564993,0.0001,464.1106064710766,4339.2109375,4459.56640625,4335.88671875,4336.05078125,4336.05078125,4339.2109375
22,0.46703710627320727,0.003135420906004226,0.0001,231.9379119677469,4341.80859375,4462.2578125,4339.2109375,4339.2109375,4339.2109375,4341.80859375
23,0.4668057373145072,0.020000000000000906,0.0001,464.0553264580667,4348.76171875,4468.8125,4345.2734375,4345.53125,4345.53125,4348.76171875
24,0.46678726798140696,0.016000000000000902,0.0001,232.358259703964,4351.19921875,4471.9375,4348.76171875,4349.34375,4349.34375,4351.19921875
25,0.4667786314383006,0.0018208912328596448,0.0001,464.32061152532697,4358.0,4478.015625,4354.91796875,4355.40625,4355.40625,4358.0
26,0.4667769517649219,0.006147462333395248,0.0001,231.36871788743883,4361.03515625,4481.16015625,4358.0,4358.4921875,4358.4921875,4361.03515625
27,0.4667730443541716,0.003999999999999115,0.0001,233.12538884207606,4363.87109375,4484.265625,4361.03515625,4361.54296875,4361.54296875,4363.87109375
28,0.46677185493240037,0.0002525329989491875,0.0001,694.6420237477869,4372.8203125,4493.6484375,4369.828125,4370.83984375,4370.83984375,4372.8203125
29,0.4667709390715331,0.0002352743107375436,0.0001,696.3340140273795,4381.8125,4502.69921875,4378.81640625,4379.25,4379.25,4381.8125
30,0.466770841724939,0.0036294987637484066,0.0001,696.8045535292476,4391.36328125,4510.91015625,4387.515625,4388.16796875,4388.16796875,4391.36328125
31,0.46676626799620263,0.003999999999999115,0.0001,464.47995806578547,4397.5703125,4517.40625,4393.67578125,4394.2109375,4394.2109375,4397.5703125
32,0.46676087941765354,0.015999999999999126,0.0001,233.1829301416874,4400.09765625,4520.27734375,4397.5703125,4397.734375,4397.734375,4400.09765625
33,0.46667338479235076,0.015999999999999126,0.0001,465.2596623757854,4406.25390625,4526.5703125,4403.81640625,4403.81640625,4403.81640625,4406.25390625
34,0.46665490171045443,0.005412738547252216,0.0001,233.1924480618909,4409.828125,4530.14453125,4406.25390625,4407.30078125,4407.30078125,4409.828125
35,0.4666545781101315,0.003999999999999115,0.0001,231.9564438778907,4413.16796875,4533.7734375,4409.828125,4409.98828125,4409.98828125,4413.16796875
36,0.46665198634027666,0.001484474936910507,0.0001,695.066298937425,4422.08203125,4543.015625,4419.34375,4419.66796875,4419.66796875,4422.08203125
37,0.46665191520028265,0.0022606876359201333,0.0001,463.1386255081743,4429.0703125,4549.2421875,4425.4453125,4425.67578125,4425.67578125,4429.0703125
38,0.466650065438534,0.003986050949320585,0.0001,465.70944929588586,4435.140625,4555.6015625,4431.5625,4432.1796875,4432.1796875,4435.140625
39,0.4666491451939848,0.0019162966651458113,0.0001,465.67377109918743,4441.203125,4561.66015625,4438.38671875,4438.38671875,4438.38671875,4441.203125
40,0.46664908628467106,0.001131467253724927,0.0001,696.429004419595,4450.60546875,4571.06640625,4447.4609375,4447.93359375,4447.93359375,4450.60546875
41,0.46664902607561576,0.003461525380544339,0.0001,232.22467813827097,4453.66796875,4574.00390625,4450.60546875,4450.9296875,4450.9296875,4453.66796875
42,0.46664891170673084,0.0023040543630612476,0.0001,231.73094737995416,4456.9375,4577.25390625,4453.66796875,4453.9921875,4453.9921875,4456.9375
