iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
31,0.5049555106092997,0.029438513014911294,0.0001,252.4342623958364,4964.859375,5085.203125,4964.85546875,4964.85546875,4964.85546875,4964.859375
32,0.5049513136673018,0.0338798495220507,0.0001,508.803004915826,4964.859375,5085.203125,4964.859375,4964.859375,4964.859375,4964.859375
33,0.5047856844245882,0.04334602681456934,0.0001,253.0310941245407,4964.859375,5085.203125,4964.859375,4964.859375,4964.859375,4964.859375
34,0.5047156800664588,0.015643633156239733,0.0001,252.98078770190477,4964.86328125,5085.203125,4964.859375,4964.859375,4964.859375,4964.86328125
35,0.5046965471021359,0.006845418136372405,0.0001,253.85284993238747,4964.86328125,5085.203125,4964.86328125,4964.86328125,4964.86328125,4964.86328125
36,0.5046916262353689,0.0007035870507090536,0.0001,253.35452130250633,4964.86328125,5085.203125,4964.86328125,4964.86328125,4964.86328125,4964.86328125
37,0.5046893683253338,0.0009528077460841944,0.0001,253.12814725469798,4964.8671875,5085.203125,4964.86328125,4964.86328125,4964.86328125,4964.8671875
38,0.5046869095975698,0.0015147907123715942,0.0001,253.78750846348703,4964.8671875,5085.203125,4964.8671875,4964.8671875,4964.8671875,4964.8671875
39,0.5046838808866271,0.003189814270019742,0.0001,253.38679181598127,4964.87109375,5085.203125,4964.8671875,4964.8671875,4964.8671875,4964.87109375
40,0.5046749750705078,0.005919011579499145,0.0001,253.58732405491173,4964.87109375,5085.203125,4964.87109375,4964.87109375,4964.87109375,4964.87109375
41,0.5046549657968277,0.004655256884945391,0.0001,253.02232751529664,4964.875,5085.203125,4964.87109375,4964.87109375,4964.87109375,4964.875
42,0.5046540063657324,0.002203671542671648,0.0001,252.3950095223263,4964.875,5085.203125,4964.875,4964.875,4964.875,4964.875
