model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mixture_quadratic_hep,n_mix,15,0.38596758356731886,0.26908275571876944,1.2750653818483444,0.004485754776732707,0.019026968359191793,0.00831035267736072,912.8540382385254
mixture_linear_kle,n_mix,21,0.3411455425031296,0.23975426381369963,1.136540254995307,0.11216420150422812,0.12594745659604686,0.11604908996083575,79.07164859771729
mixture_linear_hep,n_mix,21,0.36316089200319923,0.2561354232179034,1.2208691452203049,0.0548689624718187,0.06622800129461523,0.050461796480159624,83.81205534934998
mixture_quadratic_kle,n_mix,21,0.3853287052807957,0.26516459464504744,1.2608631207409333,0.0028230655635160746,0.03331108826378802,0.019356245311019954,1265.0661985874176
mixture_quadratic_hep,n_mix,21,0.38640360967085663,0.2723115543271452,1.2852424611642495,0.005620518493587963,0.007256000907355679,0.00039506900544874037,1271.772534608841
mixture_linear_kle,n_mix,27,0.3421725352325128,0.24119935177004032,1.1420798051854704,0.10949143930645473,0.12067921742653007,0.11174067201410602,98.26171374320984
mixture_linear_hep,n_mix,27,0.36449201303047335,0.2578873999762857,1.226460530747744,0.05140470234556017,0.05984096267728094,0.04611306329307149,102.8127179145813
mixture_quadratic_kle,n_mix,27,0.38546626723273186,0.2662416057450083,1.2655472107933807,0.003181072367719731,0.029384716835722035,0.015713166549517238,1629.5716559886932
mixture_quadratic_hep,n_mix,27,0.3865467239100713,0.2735446467035414,1.289241576766017,0.005992975199066054,0.0027606167139859195,0.002715266822954335,1644.065973997116
mixture_linear_kle,n_mix,33,0.34280475237288277,0.24196432530065642,1.1452062802447833,0.10784608581443908,0.11789041588683663,0.10930903753239922,118.53956890106201
mixture_linear_hep,n_mix,33,0.36531042783752843,0.2587671675430446,1.2294559637683242,0.04927476695671996,0.05663366589307259,0.04378334753257332,122.34924054145813
mixture_quadratic_kle,n_mix,33,0.38552977967553126,0.26676512566327537,1.2685074609083538,0.003346364342380961,0.027476163015634374,0.013410814502088213,2002.3546409606934
mixture_quadratic_hep,n_mix,33,0.3866059678191869,0.274087416103023,1.291389512916711,0.00614715825820768,0.0007818866319742049,0.0043858368769114624,2022.3509740829468
mixture_linear_kle,n_mix,39,0.34323512930711,0.2424281186524677,1.1472264147988078,0.10672602413563152,0.11619960233334137,0.10773786592665711,138.7183609008789
mixture_linear_hep,n_mix,39,0.36586708853210564,0.2592727397975145,1.231322979150259,0.047826050116878384,0.05479054240544502,0.04233126526917378,142.47921442985535
mixture_quadratic_kle,n_mix,39,0.3855653819301667,0.26705904407828657,1.2704548224443535,0.003439019682212119,0.02640464864876823,0.011896242541828583,2388.8590676784515
mixture_quadratic_hep,n_mix,39,0.38663575143195433,0.2743571641027459,1.2926674298224088,0.006224670505412956,0.0002015116254146154,0.005379744313785006,2416.040718793869
